,Buechberg,Crêtelongue,Davos,Ermensee,Gossau,Hasle,Kestenholz,Lamone,Maienfeld,Marthalen,Massongex,Niederbipp,Oberglatt,Oberwichtrach,Poschiavo,Samedan B,Schaffhausen,Sennwald,Soral,Trub,Utzenstorf,Visp,Volketswil,Vétroz,Wila,Wilchingen,Worben,Zürich
1990-01-01,,504.57,1700.69,457.03,638.31,562.11,426.65,305.12,500.59,347.19,,427.6,398.65,528.78,,1704.19,390.6,432.2,368.57,,475.32,,475.71,,567.52,378.5,433.62,398.3
1990-01-02,,504.56,1700.66,457.01,638.3,562.1,426.64,305.12,500.57,347.19,,427.59,398.64,528.76,,1704.16,390.6,432.18,368.56,,475.32,,475.71,,567.47,378.5,433.61,398.31
1990-01-03,,504.54,1700.62,457.02,638.27,562.09,426.64,305.12,500.57,347.18,,427.59,398.64,528.74,,1704.15,390.6,432.17,368.57,,475.32,,475.7,,567.4,378.49,433.6,398.32
1990-01-04,,504.53,1700.56,457.02,638.22,562.09,426.64,305.11,500.6,347.18,,427.58,398.64,528.73,,1704.15,390.6,432.17,368.56,,475.32,,475.71,,567.34,378.47,433.6,398.33
1990-01-05,,504.53,1700.51,457.03,638.18,562.08,426.63,305.1,500.61,347.18,,427.57,398.63,528.72,,1704.13,390.6,432.16,368.56,,475.32,,475.71,,567.28,378.46,433.59,398.33
1990-01-06,,504.52,1700.45,457.02,638.15,562.07,426.62,305.09,500.61,347.18,,427.56,398.62,528.71,,1704.12,390.6,432.16,368.56,,475.31,,475.72,,567.22,378.45,433.59,398.32
1990-01-07,,504.51,1700.39,457.02,638.13,562.07,426.61,305.09,500.6,347.17,,427.55,398.61,528.7,,1704.1,390.6,432.14,368.56,,475.3,,475.71,,567.19,378.45,433.59,398.33
1990-01-08,,504.51,1700.34,457.02,638.12,562.07,426.61,305.08,500.56,347.17,,427.54,398.59,528.7,,1704.07,390.6,432.12,368.56,,475.3,,475.71,,567.16,378.45,433.58,398.33
1990-01-09,,504.5,1700.31,457.02,638.08,562.06,426.6,305.08,500.57,347.17,,427.53,398.57,528.69,,1704.06,390.6,432.12,368.57,,475.29,,475.71,,567.13,378.44,433.57,398.33
1990-01-10,,504.5,1700.3,457.01,638.03,562.06,426.59,305.07,500.61,347.16,,427.53,398.55,528.68,,1704.04,390.6,432.13,368.57,,475.28,,475.71,,567.1,378.42,433.57,398.33
1990-01-11,,504.5,1700.3,457.02,637.97,562.06,426.58,305.07,500.65,347.15,,427.52,398.54,528.68,,1704.02,390.6,432.13,368.57,,475.28,,475.71,,567.05,378.41,433.57,398.32
1990-01-12,,504.49,1700.29,457.02,637.93,562.05,426.58,305.06,500.69,347.15,,427.52,398.53,528.67,,1704.0,390.6,432.13,368.56,,475.28,,475.71,,566.99,378.4,433.57,398.32
1990-01-13,,504.49,1700.29,457.01,637.92,562.04,426.57,305.06,500.71,347.15,,427.51,398.51,528.66,,1703.99,390.6,432.13,368.57,,475.27,,475.7,,566.92,378.39,433.56,398.32
1990-01-14,,504.49,1700.28,457.02,637.92,562.04,426.56,305.05,500.68,347.15,,427.5,398.5,528.66,,1703.97,390.6,432.11,368.57,,475.25,,475.7,,566.86,378.39,433.56,398.33
1990-01-15,,504.48,1700.28,457.01,637.91,562.03,426.56,305.04,500.63,347.15,,427.49,398.48,528.66,,1703.94,390.6,432.09,368.57,,475.22,,475.7,,566.79,378.39,433.56,398.34
1990-01-16,,504.48,1700.28,457.01,637.88,562.02,426.55,305.03,500.62,347.14,,427.49,398.46,528.65,,1703.92,390.6,432.09,368.57,,475.2,,475.7,,566.73,378.38,433.55,398.35
1990-01-17,,504.48,1700.28,457.01,637.85,562.03,426.54,305.03,500.64,347.13,,427.49,398.43,528.64,,1703.89,390.6,432.09,368.57,,475.19,,475.69,,566.66,378.37,433.55,398.36
1990-01-18,,504.48,1700.28,457.01,637.82,562.03,426.53,305.03,500.64,347.13,,427.47,398.42,528.63,,1703.88,390.6,432.09,368.57,,475.18,,475.69,,566.6,378.35,433.55,398.36
1990-01-19,,504.47,1700.28,457.01,637.77,562.03,426.52,305.02,500.65,347.12,,427.46,398.41,528.63,,1703.85,390.6,432.09,368.57,,475.18,,475.68,,566.56,378.34,433.54,398.35
1990-01-20,,504.47,1700.28,457.01,637.75,562.03,426.52,305.02,500.66,347.12,,427.45,398.39,528.63,,1703.82,390.6,432.08,368.57,,475.18,,475.68,,566.54,378.34,433.54,398.34
1990-01-21,,504.47,1700.28,457.0,637.75,562.03,426.51,305.02,500.61,347.13,,427.45,398.37,528.63,,1703.8,390.61,432.07,368.58,,475.18,,475.67,,566.51,378.34,433.54,398.33
1990-01-22,,504.47,1700.27,456.99,637.74,562.03,426.5,305.02,500.57,347.12,,427.45,398.35,528.62,,1703.79,390.61,432.05,368.58,,475.18,,475.68,,566.49,378.34,433.54,398.32
1990-01-23,,504.46,1700.27,457.0,637.73,562.03,426.5,305.02,500.58,347.12,,427.44,398.34,528.62,,1703.76,390.61,432.05,368.58,,475.18,,475.69,,566.47,378.33,433.54,398.3
1990-01-24,,504.46,1700.27,457.0,637.76,562.04,426.49,305.01,500.6,347.11,,427.42,398.33,528.62,,1703.74,390.61,432.08,368.58,,475.19,,475.73,,566.45,378.32,433.54,398.29
1990-01-25,,504.47,1700.27,456.99,637.82,562.05,426.48,305.01,500.61,347.11,,427.42,398.32,528.61,,1703.72,390.61,432.11,368.59,,475.19,,475.71,,566.44,378.31,433.55,398.28
1990-01-26,,504.51,1700.27,456.99,637.88,562.13,426.47,305.0,500.61,347.1,,427.41,398.3,528.61,,1703.71,390.61,432.15,368.6,,475.18,,475.69,,566.53,378.31,433.57,398.27
1990-01-27,,504.52,1700.27,456.99,637.95,562.12,426.46,305.01,500.61,347.1,,427.4,398.27,528.61,,1703.69,390.61,432.16,368.62,,475.17,,475.66,,566.7,378.31,433.59,398.25
1990-01-28,,504.52,1700.27,456.98,637.99,562.1,426.46,305.01,500.56,347.09,,427.39,398.25,528.61,,1703.68,390.61,432.14,368.63,,475.17,,475.68,,566.86,378.31,433.59,398.24
1990-01-29,,504.53,1700.27,456.98,638.01,562.09,426.45,305.0,500.54,347.09,,427.39,398.24,528.61,,1703.66,390.61,432.14,368.64,,475.18,,475.65,,566.96,378.3,433.61,398.23
1990-01-30,,504.53,1700.27,456.98,638.02,562.08,426.44,305.02,500.58,347.08,,427.38,398.23,528.61,,1703.66,390.61,432.15,368.66,,475.18,,475.65,,567.05,378.3,433.62,398.23
1990-01-31,,504.52,1700.27,456.97,638.02,562.08,426.44,305.03,500.6,347.08,,427.37,398.21,528.61,,1703.65,390.61,432.16,368.67,,475.17,,475.66,,567.12,378.28,433.62,398.21
1990-02-01,,504.53,1700.27,456.95,638.02,562.08,426.42,305.03,500.61,347.07,,427.38,398.19,528.61,,1703.64,390.61,432.17,368.68,,475.16,,475.66,,567.15,378.27,433.62,398.2
1990-02-02,,504.53,1700.27,456.95,638.01,562.11,426.42,305.02,500.63,347.06,,427.39,398.17,528.61,,1703.64,390.61,432.17,368.67,,475.16,,475.65,,567.13,378.25,433.61,398.17
1990-02-03,,504.53,1700.27,456.95,637.99,562.15,426.42,305.03,500.63,347.06,,427.39,398.14,528.61,,1703.64,390.61,432.16,368.67,,475.15,,475.66,,567.18,378.23,433.61,398.15
