,x,y,z,id,lat,lon,start,geometry,Snow Days,Evap.,Temp.,Prec.,DTR,DTW
Buechberg,2696280 , 1281190,450.0,NQG24,47.67426501387295,8.720692485577326,1993,POINT (8.720692485577326 47.67426501387295),18.84375,584.6139259811679,9.850349159205674,878.5108259541992,1493.3801460138427,32.262922613065314
Crêtelongue,2603294 , 1123693,506.17,NQG23,46.264655597677496,7.481368494317976,1976,POINT (7.481368494317976 46.264655597677496),8.6875,614.9398522187187,10.755647643417094,622.8355207990193,127.42343723295683,1.3115702552327093
Davos,2786735 , 1182673,1702.51,NQG50,46.76904882082139,9.88371757042155,1978,POINT (9.88371757042155 46.76904882082139),93.53125,372.031627067657,2.1228192774454646,1046.3822443169531,23.791753851861884,1.9717816387376388
Ermensee,2661480 , 1231090,476.0,NQG25,47.22787852402654,8.250436073524114,1989,POINT (8.250436073524114 47.22787852402654),17.53125,574.4993305858045,9.624375310111578,1119.7669968550017,585.778411949843,17.98608231034177
Gossau,2738020 , 1252925,645.42,NQG26,47.4126627059491,9.26755992169982,1984,POINT (9.26755992169982 47.4126627059491),30.46875,552.4666883551938,8.904215507699906,1321.1024390203238,164.62030796542336,7.026162270694499
Hasle,2616651 , 1207556,566.56,NQG28,47.01884249965598,7.657637454305286,1990,POINT (7.657637454305286 47.01884249965598),26.1875,547.081441151242,8.738817620853041,1180.6332345806525,170.07447907060617,4.107805351938509
Kestenholz,2623810 , 1237680,446.6,NQG29,47.289581552707595,7.753382841581974,1987,POINT (7.753382841581974 47.289581552707595),23.1875,564.7514001826105,9.300533321332022,1097.2274229451357,11.115140996771485,19.027652856360646
Lamone,2715377 , 1099873,310.55,NQG01,46.04053521373869,8.929069169333367,1981,POINT (8.929069169333367 46.04053521373869),3.59375,636.1340235391289,11.640846637218544,1703.1959411155408,244.87025547493764,4.701666962857644
Maienfeld,2759372 , 1206995,506.0,NTG19,46.99486333433977,9.534119258059901,1975,POINT (9.534119258059901 46.99486333433977),16.5625,600.8713547984664,10.40277226881609,1063.081670177625,474.0263041598203,4.228588918677417
Marthalen,2688850 , 1273790,366.55,NQG30,47.60877093426751,8.620285748771062,1983,POINT (8.620285748771062 47.60877093426751),18.53125,591.4679885410017,10.0763090734964,904.9356738336053,520.6926851958751,18.74808531307957
Massongex,2564865 , 1121900,396.2,NQG31A,46.24761212861899,6.983073726694552,1994,POINT (6.983073726694552 46.24761212861899),9.65625,601.1961423927557,10.610531245174041,1006.6250824178529,415.74012843371827,3.2664365570389577
Niederbipp,2621200 , 1235840,454.98,NQG32A,47.27312056572005,7.718793614872769,1977,POINT (7.718793614872769 47.27312056572005),22.28125,567.1353564638218,9.376705382076318,1107.0670685165928,405.9490748637646,26.558178044687793
Oberglatt,2681180 , 1260550,425.9,NQG33,47.4906991235216,8.515874550494946,1990,POINT (8.515874550494946 47.4906991235216),18.09375,582.6172958260684,9.83693229338385,991.2506191068169,614.0452036290495,23.633759604345073
Oberwichtrach,2610095 , 1186970,531.55,NQG34a,46.83379903376404,7.570954631167353,1990,POINT (7.570954631167353 46.83379903376404),23.15625,566.5556627403485,9.372998755357486,1080.104865044928,662.1545037179294,2.4335405811179953
Poschiavo,2803377 , 1130888,968.94,NQG35,46.2986043543202,10.07865453242212,1990,POINT (10.07865453242212 46.2986043543202),17.6875,524.5932473480582,8.100546650779107,1001.8698816017062,141.13046863598925,1.305289057811592
Samedan B,2786892 , 1155630,1708.76,NTG12,46.52585619029444,9.874778631531633,1980,POINT (9.874778631531633 46.52585619029444),74.78125,383.28616175306644,1.9795918868282683,692.8101129043482,612.2355831209022,3.7487271760326166
Schaffhausen,2691838 , 1284164,433.01,NQG02,47.70164539825012,8.662169793520022,1987,POINT (8.662169793520022 47.70164539825012),18.625,587.7805852366605,9.936349063520488,903.8319463118535,1383.1607147875309,42.09492660121549
Sennwald,2756450 , 1234150,434.75,NQG37,47.23972994441283,9.505120808476152,1990,POINT (9.505120808476152 47.23972994441283),17.15625,606.1110823816548,10.60591926708286,1219.1519782453804,252.67637154860685,2.100785127616291
Soral,2492417 , 1111141,447.72,NQG03,46.143145176886804,6.04630101184054,1977,POINT (6.04630101184054 46.143145176886804),7.53125,608.5525124923122,10.777710487978473,959.9430989222312,1120.4156316157143,78.34723951405522
Trub,2633432 , 1198871,791.43,NTG01,46.94008877940151,7.877711772819351,2005,POINT (7.877711772819351 46.94008877940151),47.03125,498.2009635433444,7.203485939488617,1483.7239895752587,54.41915400828263,7.99691506554143
Utzenstorf,2610930 , 1219105,483.09,NQG39,47.12284357289734,7.582668066312657,1990,POINT (7.582668066312657 47.12284357289734),20.96875,564.8497077653305,9.270946757895365,1063.6546364229343,158.84510073977825,6.787422944449304
Visp,2633176 , 1127635,645.518,NQG41A,46.29930802263792,7.869222693582206,1993,POINT (7.869222693582206 46.29930802263792),21.65625,552.1520373921539,8.742764665168256,531.0343506091072,216.2297257713252,4.117474844658318
Volketswil,2695430 , 1250150,515.06,NQG42,47.395259191582205,8.702717226607366,1975,POINT (8.702717226607366 47.395259191582205),18.8125,575.6206186126644,9.651328611523338,1178.1911164321054,2030.8747538911493,38.579535458800706
Vétroz,2588224 , 1116950,476.57,NQG40A,46.203901667031396,7.286077639250622,1991,POINT (7.286077639250622 46.203901667031396),12.09375,593.6628188580519,10.11274619462297,555.154989479714,14.420050650378649,2.532369033218572
Wila,2706820 , 1252423,573.0,NQG43,47.413950726738264,8.854104460742027,1990,POINT (8.854104460742027 47.413950726738264),27.4375,559.6627600121633,9.126916782771605,1371.728953941128,68.54246602537955,4.003990108628386
Wilchingen,2676220 , 1280555,413.44,NQG04,47.67119530629484,8.45349625266316,1968,POINT (8.45349625266316 47.67119530629484),20.1875,569.5942487259936,9.37061805532585,963.6477922342133,453.3736521028341,34.996737780178194
Worben,2589870 , 1216895,435.06,NQG44,47.102975340593574,7.305183204381576,1976,POINT (7.305183204381576 47.102975340593574),13.9375,592.8452429077538,10.173860746446557,1032.729590081356,246.85941850071666,1.4059833966263682
Zürich,2682202 , 1247522,411.35,NQG45,47.37340841583947,8.527036956864576,1972,POINT (8.527036956864576 47.37340841583947),17.25,594.0960318423045,10.204947463864471,1122.8776146771884,308.60897095212175,11.045743177603185
