,Crêtelongue,Davos,Ermensee,Hasle,Lamone,Maienfeld,Massongex,Oberwichtrach,Poschiavo,Schaffhausen,Sennwald,Visp,Vétroz,Zürich,Wila,Oberglatt,Worben,Utzenstorf,Marthalen
1995-01-01,483.259,1667.923,463.182,638.533,,563.943,455.964,548.265,,383.036,418.95,665.64,483.259,412.481,524.498,0.593,,,0.227
1995-01-02,483.333,1667.92,463.202,638.456,,564.152,456.208,548.223,,383.031,419.211,665.646,483.333,412.402,524.343,0.56,,,0.19999999999999998
1995-01-03,483.498,1667.917,463.206,638.413,,564.433,456.569,548.192,,383.041,419.295,665.616,483.498,412.355,524.249,0.543,,,0.18400000000000002
1995-01-04,483.529,1667.914,463.206,638.377,,564.471,456.689,548.12,,383.048,419.356,665.575,483.529,412.325,524.18,0.52,,,0.1698
1995-01-05,483.528,1667.911,463.203,638.354,,564.546,456.789,548.069,,383.039,419.449,665.61,483.528,412.308,524.117,0.504,,,0.15975
1995-01-06,483.515,1667.909,463.199,638.332,,564.505,456.713,548.04,,383.025,419.294,665.61,483.515,412.288,524.069,0.487,,,0.14925
1995-01-07,483.373,1667.907,463.185,638.314,,564.136,456.4,548.03,,383.004,419.176,665.618,483.373,412.301,524.054,0.467,,,0.14175
1995-01-08,483.221,1667.904,463.174,638.307,,564.006,456.104,547.972,,382.993,418.986,665.601,483.221,412.295,524.043,0.447,,,0.13740000000000002
1995-01-09,483.483,1667.903,463.162,638.306,,564.487,456.599,547.964,,382.975,419.268,665.675,483.483,412.284,524.023,0.432,,,0.1335
1995-01-10,483.573,1667.9,463.162,638.324,,564.547,456.749,547.954,,382.943,419.381,665.625,483.573,412.311,524.052,0.499,,,0.1628421052631579
1995-01-11,483.737,1667.898,463.327,638.582,,564.505,456.935,547.952,,382.959,419.487,665.606,483.737,412.54,524.282,0.744,,,0.2742631578947369
1995-01-12,483.632,1667.895,463.412,638.463,,564.547,456.844,548.02,,382.973,419.445,665.626,483.632,412.427,524.186,0.565,,,0.224
1995-01-13,483.643,1667.893,463.422,638.404,,564.54,456.861,548.022,,382.989,419.469,665.619,483.643,412.339,524.112,0.535,,,0.19514285714285715
1995-01-14,483.415,1667.891,463.413,638.353,,564.029,456.584,548.021,,382.989,419.184,665.608,483.415,412.288,524.06,0.511,,,0.1777142857142857
1995-01-15,483.273,1667.888,463.396,638.332,,563.975,456.242,548.016,,382.982,418.948,665.582,483.273,412.292,524.053,0.493,,,0.165
1995-01-16,483.517,1667.886,463.381,638.325,,564.465,456.688,548.011,,382.966,419.209,665.61,483.517,412.286,524.028,0.478,,,0.1564
1995-01-17,483.595,1667.883,463.36,638.319,,564.498,456.799,548.006,,382.95,419.399,665.603,483.595,412.27,524.014,0.461,,,0.14933333333333332
1995-01-18,483.584,1667.881,463.343,638.31,,564.525,456.801,548.011,,382.94,419.402,665.596,483.584,412.269,524.011,0.44,,,0.14366666666666664
1995-01-19,483.594,1667.882,463.333,638.314,,564.468,456.792,548.017,,382.936,419.371,665.597,483.594,412.297,524.013,0.455,,,0.14085714285714285
1995-01-20,483.594,1667.881,463.324,638.306,,564.454,456.778,547.989,,382.933,419.315,665.622,483.594,412.278,523.998,0.425,,,0.1376666666666667
1995-01-21,483.392,1667.879,463.317,638.305,,564.018,456.371,547.926,,382.926,419.079,665.584,483.392,412.289,523.999,0.426,,,0.13685714285714287
1995-01-22,483.185,1667.875,463.319,638.507,,563.899,456.09,547.928,,382.946,418.899,665.571,483.185,412.305,524.262,0.474,,,0.2766538461538462
1995-01-23,483.566,1667.873,463.369,639.0,,564.418,456.63,547.946,,382.943,419.174,665.622,483.566,412.617,524.811,0.516,,,0.31942105263157894
1995-01-24,483.701,1667.872,463.452,638.846,,564.574,456.869,548.107,,382.983,419.519,665.596,483.701,412.71,524.758,0.608,,,0.2668333333333333
1995-01-25,483.697,1667.87,463.502,639.007,,564.583,456.823,548.245,,383.089,419.595,665.601,483.697,412.668,524.815,0.909,,,0.45308333333333334
1995-01-26,483.737,1667.87,463.549,638.973,,564.437,456.831,548.546,,383.162,419.69,665.613,483.737,412.726,524.83,0.68,,,0.4002307692307693
1995-01-27,483.702,1667.868,463.574,638.694,,564.465,456.822,548.648,,383.206,419.526,665.599,483.702,412.528,524.605,0.636,,,0.35728571428571426
1995-01-28,483.457,1667.866,463.571,638.608,,564.065,456.35,548.612,,383.231,419.258,665.572,483.457,412.429,524.462,0.623,,,0.33294999999999997
1995-01-29,483.306,1667.864,463.562,638.618,,563.875,456.153,548.552,,383.245,419.024,665.589,483.306,412.424,524.446,0.599,,,0.3359473684210526
1995-01-30,483.569,1667.863,463.557,638.719,,564.379,456.669,548.504,,383.249,419.236,665.606,483.569,412.537,524.664,0.692,,,0.3083846153846154
1995-01-31,483.671,1667.861,463.556,638.678,,564.44,456.846,548.528,,383.26,419.46,665.593,483.671,412.565,524.646,0.653,,,0.27949999999999997
1995-02-01,483.633,1667.861,463.543,638.56,,564.426,456.782,548.476,,383.269,419.38,665.577,483.633,412.423,524.45,0.624,,,0.262625
1995-02-02,483.602,1667.861,463.524,638.508,,564.403,456.743,548.445,,383.263,419.355,665.577,483.602,412.374,524.341,0.605,,,0.2434285714285714
1995-02-03,483.602,1667.861,463.505,638.476,,564.311,456.717,548.373,,383.253,419.335,665.584,483.602,412.344,524.286,0.589,,,0.21880000000000002
1995-02-04,483.38,1667.861,463.482,638.456,,563.949,456.261,548.315,,383.237,419.14,665.558,483.38,412.334,524.239,0.574,,,0.20466666666666666
1995-02-05,483.251,1667.861,463.46,638.476,,563.952,456.066,548.288,,383.22,419.081,665.573,483.251,412.346,524.242,0.552,,,0.1936
1995-02-06,483.511,1667.858,463.434,638.468,,564.337,456.529,548.215,,383.2,419.134,665.586,483.511,412.352,524.24,0.534,,,0.1856
1995-02-07,483.583,1667.861,463.412,638.463,,564.391,456.642,548.178,,383.181,419.29,665.582,483.583,412.356,524.252,0.521,,,0.17825
1995-02-08,483.582,1667.861,463.389,638.48,,564.329,456.64,548.113,,383.169,419.348,665.579,483.582,412.371,524.289,0.508,,,0.1741111111111111
1995-02-09,483.614,1667.86,463.37,638.546,,564.243,456.75,548.107,,383.173,419.333,665.584,483.614,412.451,524.444,0.532,,,0.19328571428571428
1995-02-10,483.617,1667.858,463.35,638.493,,564.333,456.731,548.111,,383.188,419.267,665.578,483.617,412.448,524.37,0.493,,,0.176
1995-02-11,483.414,1667.854,463.332,638.478,,564.016,456.243,548.092,,383.185,419.127,665.562,483.414,412.371,524.27,0.492,,,0.17157142857142857
1995-02-12,483.227,1667.85,463.311,638.455,,563.927,456.029,548.048,,383.177,418.921,665.563,483.227,412.357,524.25,0.468,,,0.1632
1995-02-13,483.52,1667.851,463.291,638.448,,564.371,456.571,548.015,,383.168,419.233,665.581,483.52,412.354,524.212,0.451,,,0.16166666666666668
1995-02-14,483.613,1667.852,463.274,638.532,,564.396,456.737,548.019,,383.149,419.336,665.582,483.613,412.37,524.217,0.451,,,0.1682142857142857
1995-02-15,483.597,1667.851,463.258,638.482,,564.541,456.748,548.019,,383.148,419.452,665.575,483.597,412.35,524.171,0.444,,,0.1904705882352941
