,Buechberg,Crêtelongue,Davos,Ermensee,Gossau,Hasle,Kestenholz,Lamone,Maienfeld,Marthalen,Massongex,Niederbipp,Oberglatt,Oberwichtrach,Poschiavo,Samedan B,Schaffhausen,Sennwald,Soral,Trub,Utzenstorf,Visp,Volketswil,Vétroz,Wila,Wilchingen,Worben,Zürich
1990-01-01,-4.309045,-3.9120462,-5.4892454,-2.8379009,-4.7856927,-4.3563204,-2.961836,-1.8428653,-5.795622,-4.1811967,-1.9110821,-2.95683,-3.8540573,-4.822612,-4.668608,-15.488541,-4.1333942,-6.50559,-0.8655994,-2.4841208,-3.7890263,-6.471472,-3.414067,-1.7604586,-4.590937,-4.7068954,-1.6075736,-3.7310162
1990-01-02,-4.265186,-2.6441793,-6.178814,-3.5550466,-4.4614463,-4.0578957,-3.2557728,-1.6408777,-3.1518395,-3.9118218,-1.104454,-3.1088548,-3.9671767,-3.9608023,-3.0279021,-15.798637,-4.1594257,-4.930483,-0.2694997,0.10127235,-3.4038804,-4.404897,-3.6347065,-1.2555748,-4.7882323,-4.832757,-1.8153005,-3.3837032
1990-01-03,-2.4011192,-2.7821677,-5.5000625,-3.3521314,-4.386344,-5.1878567,-3.5455258,-0.63893056,-4.4653845,-2.0962164,-1.4478937,-3.4523902,-2.5038857,-4.5945983,-3.1557126,-14.218925,-2.3486814,-4.3785977,-0.58261985,-2.5727608,-4.298299,-5.4881167,-3.199675,-1.6186485,-3.4288938,-2.698834,-3.2575536,-2.193433
1990-01-04,-2.0100818,-3.4167712,-5.841912,-2.98211,-3.947699,-5.1624165,-3.1593468,-1.3113143,-5.1664886,-1.8106904,-2.0363932,-3.0386996,-2.3924,-4.922124,-7.030782,-15.983882,-1.8896463,-3.8436878,-1.4302752,-2.9664013,-3.905085,-6.5892816,-2.913324,-1.7091861,-3.0229113,-2.4710574,-2.353839,-2.1087267
1990-01-05,-1.7407457,-3.516416,-6.33758,-1.6728778,-1.0413413,-2.9346988,-1.7659258,-1.7283971,-1.6954094,-1.294136,-2.0465958,-1.6735661,-1.2096025,-3.5138042,-4.1412053,-14.9843,-1.6409054,-2.0253582,-2.170226,-0.099889144,-2.1155775,-5.362631,-1.2380283,-1.3529187,-2.1931376,-2.3474867,-1.3973242,-0.847892
1990-01-06,1.0604618,0.029751118,-7.20581,0.65423036,-0.24531673,-0.33555415,0.2070267,-1.2320528,-0.6604894,1.3076847,-0.043614954,0.3125934,0.9511223,-0.4048294,-2.991891,-8.326308,1.1073574,0.62137705,-1.96701,1.0094967,-0.30583483,-3.9852972,0.8717258,-1.3457197,0.89097035,0.43312564,0.27075908,1.6252787
1990-01-07,0.46818683,0.15385973,-8.524548,0.23042166,-2.3379018,-2.528794,-0.09155363,-1.6978993,-1.9464527,0.83200246,1.0964237,0.049772236,0.5012345,-1.6931763,-5.365774,-16.991034,0.5540515,-0.70517504,0.36113247,-2.48226,-0.50690424,-3.9585257,0.10185783,1.1756415,-0.58726645,0.10844154,0.7741945,0.9174022
1990-01-08,-1.0914907,-3.1449354,-7.4340153,-1.0351181,-3.0054018,-3.168644,-1.6821129,-1.4632685,-4.246451,-0.9847958,-0.8193163,-1.6739651,-0.9775564,-3.389701,-5.1570706,-17.509869,-0.855514,-4.5069604,0.74651814,-2.0124602,-2.6859546,-6.6443715,-1.0031404,-1.3582423,-1.9158875,-1.6363069,-0.872961,-1.0120935
1990-01-09,-2.137005,-3.4290428,-5.8044753,-1.9939339,-3.2631662,-3.3504376,-2.7964995,-0.9421878,-2.797521,-1.9767061,-1.4483222,-2.782639,-2.0670674,-3.4991121,-4.1880736,-15.881542,-1.8464565,-2.068031,0.2539473,-2.101021,-3.778889,-6.3811636,-1.9932386,-1.7322292,-3.3676007,-2.3527205,-2.8181741,-2.0171342
1990-01-10,-3.7409036,-2.7032614,-4.2067623,-3.1662796,-4.7766566,-4.528268,-3.891408,-0.5016582,-7.7443204,-3.429592,-2.1573572,-3.7947762,-3.55015,-4.632028,-4.7124033,-14.607095,-3.583588,-6.0409775,-0.8488202,1.8336201,-4.494051,-4.128291,-3.355518,-1.0302529,-4.481511,-4.311486,-2.8780541,-2.9183235
1990-01-11,-4.1192718,-2.3108425,-4.3355064,-3.4280064,-4.884273,-4.8422885,-3.6274145,-0.2550722,-6.777606,-3.7510128,-1.9297119,-3.520984,-3.8581822,-4.4159913,-4.9967804,-15.603737,-3.9638166,-6.027285,-1.0208561,2.5619853,-4.3853226,-3.5771086,-3.5921166,-0.30661538,-5.0235243,-4.4362864,-2.667963,-3.1812994
1990-01-12,-4.49734,-2.4954543,-3.87249,-3.8054693,-4.3101077,-4.8173485,-3.8714938,0.1414201,-7.710581,-4.0186186,-2.4971619,-3.7874453,-3.7643182,-4.790733,-4.640802,-14.892213,-4.2720838,-6.2424645,-1.4289598,3.2364197,-4.589538,-3.5615942,-3.8466537,-0.34311387,-5.3597746,-5.084572,-2.5446968,-3.13793
