,head_full [m],head [m],rr [mm/d],tg [C],tn [C],tx [C],pp [hPa],hu [%],fg [m/s],qq [W/m2],et [mm/d]
1990-01-01,,,0.0000,-4.4700,-5.3100,-3.8600,1022.4000,92.1500,1.0300,30.0000,0.2198
1990-01-02,,,0.0000,-2.7400,-5.4500,-0.4300,1023.5000,91.3750,0.9900,33.0000,0.2611
1990-01-03,,,0.0000,-1.0500,-3.5200,-0.2900,1024.4000,86.1800,2.0900,15.0000,0.1274
1990-01-04,,,0.0000,-3.0000,-4.1100,-0.7900,1027.9000,88.5850,2.2200,30.0000,0.2340
1990-01-05,,,1.4000,-1.4600,-3.5000,-0.8700,1027.8000,92.4600,1.5600,14.0000,0.1167
1990-01-06,,,0.0000,-1.8700,-2.6700,-0.5700,1030.7001,92.1250,1.8900,17.0000,0.1390
1990-01-07,,,0.0000,-6.1000,-8.3500,-2.8500,1035.8000,92.9789,1.5200,26.0000,0.1748
1990-01-08,,,0.0000,-5.6800,-6.5600,-4.9100,1039.2001,93.0056,1.1800,37.0000,0.2533
1990-01-09,,,0.0000,-3.9100,-6.3200,-2.2900,1039.9000,92.5900,0.9800,31.0000,0.2304
1990-01-10,,,0.0000,-3.9100,-5.2100,-0.7400,1036.3000,90.3350,0.8300,34.0000,0.2533
1990-01-11,,,0.0000,-3.0900,-6.6500,-1.9100,1035.8000,94.2833,1.0800,29.0000,0.2242
1990-01-12,,,0.0000,-7.2400,-9.6600,-3.0400,1034.7001,88.9450,0.9400,42.0000,0.2672
1990-01-13,,,0.0000,-5.4700,-11.2000,-2.1200,1032.4000,88.5150,0.8700,58.0000,0.4029
1990-01-14,,,0.0000,-4.9000,-8.5600,-1.6400,1029.3000,88.3250,1.3300,47.0000,0.3361
1990-01-15,,,0.0000,-2.9000,-7.3000,-1.0300,1030.6000,91.2950,1.8700,43.0000,0.3364
1990-01-16,,,0.0000,3.8800,-2.2100,5.2300,1028.4000,89.6800,3.1800,26.0000,0.2659
1990-01-17,,,3.3000,3.7300,2.9800,4.7100,1024.8000,94.6583,2.7400,23.0000,0.2344
1990-01-18,,,0.0000,-0.4900,-2.6300,4.3700,1027.9000,87.3400,1.6600,49.0000,0.4251
1990-01-19,,,0.0000,-0.6000,-3.2100,3.2700,1031.3000,85.8850,2.1300,52.0000,0.4482
1990-01-20,,,0.9000,1.5700,-1.9400,2.5800,1031.5000,85.1600,3.2300,20.0000,0.1877
1990-01-21,,,0.0000,2.4400,-0.3200,7.2000,1035.0000,93.4933,2.3400,30.0000,0.2903
1990-01-22,,,0.0000,1.5200,-2.9100,6.2500,1034.4000,93.7177,1.7100,54.0000,0.5051
1990-01-23,,,4.8000,-0.7300,-2.0900,1.3500,1025.6000,91.9316,1.9100,54.0000,0.4646
1990-01-24,,,2.7000,5.1300,-1.4200,7.7500,1011.7000,76.4550,4.8100,43.0000,0.4629
1990-01-25,,,4.5000,7.7700,-0.6600,11.4200,1006.0000,78.3800,5.0200,22.0000,0.2581
1990-01-26,,,0.0000,4.7000,1.0000,11.6800,1004.8000,59.2550,6.5700,66.0000,0.7029
1990-01-27,,,0.0000,2.7700,-0.8200,9.0200,1011.7000,69.1400,4.2600,63.0000,0.6250
1990-01-28,,,0.0000,4.2400,-1.6800,8.8600,1005.9000,76.1050,3.8400,39.0000,0.4087
1990-01-29,,,0.0000,1.4300,-0.6600,5.1300,1012.5000,88.0750,2.4100,64.0000,0.6040
1990-01-30,,,0.0000,2.0200,-1.8300,5.8700,1011.6000,89.5900,2.4700,40.0000,0.3861
1990-01-31,,,0.0000,1.1800,-3.0200,7.4700,1011.4000,85.3750,2.8300,71.0000,0.6642
1990-02-01,,,0.0000,1.8900,-1.5400,7.2800,1013.7000,88.1750,1.1200,45.0000,0.4318
1990-02-02,,,3.6000,2.3000,-1.3700,6.1000,1015.9000,92.4550,2.6600,42.0000,0.4087
1990-02-03,,,0.0000,6.3300,-2.1900,9.9000,1018.0000,73.6600,4.2900,77.0000,0.8590
1990-02-04,,,0.0000,2.1200,-1.0600,10.5400,1030.8000,73.9100,4.0000,96.0000,0.9202
1990-02-05,,,0.0000,0.6600,-4.4400,10.2600,1030.8000,76.1650,1.4700,98.0000,0.8885
1990-02-06,,,0.0000,-0.5200,-6.1100,8.0700,1022.0000,78.8650,1.1800,92.0000,0.8000
1990-02-07,,,0.0000,2.6700,-4.2700,11.1100,1021.5000,79.5450,2.4100,92.0000,0.9046
1990-02-08,,,0.0000,8.1900,0.6500,14.9500,1018.6000,63.6450,5.3300,49.0000,0.5785
1990-02-09,,,0.0000,1.8400,-0.2200,7.0400,1030.4000,74.7650,3.0700,76.0000,0.7211
1990-02-10,,,11.8000,1.8800,-5.1900,6.2900,1019.8000,75.2450,2.5400,74.0000,0.7074
1990-02-11,,,2.4000,2.0000,-0.6400,5.4300,1007.8000,82.9250,4.5400,52.0000,0.5027
1990-02-12,,,3.7000,0.9900,-1.7200,4.2900,994.0000,89.5150,4.2100,46.0000,0.4316
1990-02-13,,,15.2000,1.1200,-0.7900,3.1200,998.6000,86.8700,3.7100,58.0000,0.5454
1990-02-14,,,25.9000,4.1800,0.2200,7.3600,991.9000,76.5300,6.8900,40.0000,0.4215
1990-02-15,,,20.2000,2.5500,-0.0800,4.0300,994.5000,76.7500,5.0900,46.0000,0.4571
1990-02-16,,,0.0000,0.9600,0.1600,4.1600,1011.1000,71.7350,3.5700,68.0000,0.6309
1990-02-17,,,0.7000,2.2300,-3.6600,6.6300,1019.0000,80.5000,2.0900,87.0000,0.8429
1990-02-18,,,0.0000,5.8500,2.0000,13.2300,1017.8000,82.5400,1.5100,92.0000,1.0108
1990-02-19,,,0.0000,5.1500,1.8300,9.3500,1021.7000,86.6100,1.3800,60.0000,0.6430
1990-02-20,,,0.0000,6.3700,-0.0100,16.4500,1028.6000,79.8550,1.3500,126.0000,1.4001
1990-02-21,,,0.0000,6.3000,-0.4500,15.4000,1030.7001,84.2550,1.3600,119.0000,1.3180
1990-02-22,,,0.0000,6.4500,2.0500,15.5600,1040.5000,79.8950,1.6200,122.0000,1.3512
1990-02-23,,,0.0000,3.2800,-0.9300,5.7400,1036.7001,92.2850,1.4500,111.0000,1.1065
1990-02-24,,,0.0000,6.6500,1.5600,15.2000,1029.8000,81.9650,1.2300,126.0000,1.4117
1990-02-25,,,0.0000,8.9800,0.0200,17.6600,1017.1000,66.9350,2.5600,115.0000,1.3904
1990-02-26,,,7.9000,7.6100,4.3200,12.7700,1002.5000,67.3850,8.2500,51.0000,0.5964
1990-02-27,,,26.5000,2.8000,0.8400,6.1200,993.4000,82.5400,7.8400,57.0000,0.5719
1990-02-28,,,19.6000,4.9600,1.4500,6.3200,1002.6000,80.2550,7.5800,62.0000,0.6668
1990-03-01,,,1.2000,2.4000,-0.1700,7.6800,1003.3000,63.7250,9.0800,103.0000,1.0130
1990-03-02,,,1.9000,0.0700,-0.5000,1.6700,1020.9000,84.4300,4.4500,90.0000,0.8019
1990-03-03,,,1.0000,0.7400,-1.8000,1.5700,1040.0000,83.7950,4.2800,75.0000,0.6785
1990-03-04,,,0.0000,2.3600,-1.9000,5.1600,1041.9000,75.1850,3.6700,111.0000,1.0670
1990-03-05,,,0.0000,2.7400,0.5300,8.3800,1033.1000,76.3500,2.9000,132.0000,1.2929
1990-03-06,,,0.0000,8.0100,0.0600,10.8500,1022.1000,50.1150,4.9100,92.0000,1.0787
1990-03-07,,,0.0000,5.0900,2.7100,10.3700,1024.9000,74.8500,3.2400,97.0000,1.0357
1990-03-08,,,0.0000,4.8800,-1.8100,14.5200,1022.4000,72.8050,1.4400,148.0000,1.5712
1990-03-09,,,0.0000,8.6000,-0.0900,13.6500,1021.7000,58.0250,5.7900,120.0000,1.4319
1990-03-10,,,4.2000,8.5400,4.9100,9.9100,1030.2001,79.5100,5.8400,43.0000,0.5102
1990-03-11,,,0.0000,10.2100,7.6100,17.1500,1028.9000,72.7400,3.7100,164.0000,2.0416
1990-03-12,,,0.0000,9.6400,3.4500,16.6700,1023.0000,70.6100,2.0700,127.0000,1.5603
1990-03-13,,,0.0000,5.2400,-1.4500,13.4200,1026.8000,66.4150,1.6100,167.0000,1.7903
1990-03-14,,,0.0000,6.2200,-0.1000,11.7600,1029.6000,82.0850,1.4700,62.0000,0.6853
1990-03-15,,,0.0000,5.5800,-0.8400,14.5500,1036.3000,76.5450,1.3100,160.0000,1.7263
1990-03-16,,,0.0000,5.7700,-0.9900,15.1700,1036.7001,70.0100,1.5600,175.0000,1.8996
1990-03-17,,,0.0000,7.0400,-1.5800,17.3700,1034.2001,64.0850,1.9400,188.0000,2.1277
1990-03-18,,,0.0000,7.2200,-1.5900,17.6800,1034.0000,70.7050,1.1800,196.0000,2.2309
1990-03-19,,,0.0000,8.5300,-1.0400,19.6500,1033.2001,69.2850,0.9200,192.0000,2.2743
1990-03-20,,,0.0000,8.4800,1.2600,13.3700,1028.7001,84.1300,3.3500,66.0000,0.7823
1990-03-21,,,0.0000,12.4800,7.5400,19.2300,1021.4000,67.7050,3.3100,166.0000,2.2002
1990-03-22,,,1.5000,14.7100,4.2800,22.1600,1018.1000,62.1750,2.5800,164.0000,2.2955
1990-03-23,,,0.0000,5.7500,3.5600,14.9200,1024.4000,74.0600,2.5600,152.0000,1.6591
1990-03-24,,,1.0000,6.3700,-1.9100,14.8400,1020.3000,72.8650,1.7900,208.0000,2.3207
1990-03-25,,,0.9000,2.0800,0.4700,6.9500,1019.2000,78.2350,4.4400,135.0000,1.3006
1990-03-26,,,0.0000,2.9300,-1.0100,5.8600,1020.2000,72.6100,1.6400,82.0000,0.8144
1990-03-27,,,3.7000,5.6200,-2.3600,9.1400,1019.9000,58.5700,3.5200,118.0000,1.2854
1990-03-28,,,2.7000,2.6400,0.7200,6.2800,1016.2000,92.5526,2.0400,52.0000,0.5122
1990-03-29,,,0.0000,5.5800,2.3800,6.1900,1026.1000,89.2800,2.0600,53.0000,0.5748
1990-03-30,,,0.0000,6.9900,5.4600,11.5700,1032.3000,82.5950,1.4500,97.0000,1.0971
1990-03-31,,,0.0000,6.9500,-0.8200,15.5400,1034.2001,77.6550,1.2300,201.0000,2.2685
1990-04-01,,,0.0000,8.9100,0.1100,17.8900,1024.2001,74.1350,1.6900,231.0000,2.7782
1990-04-02,,,0.0000,9.6700,1.2800,18.3300,1010.0000,71.0150,1.0100,212.0000,2.6220
1990-04-03,,,1.3000,7.9600,4.3400,16.4500,1002.5000,69.8050,3.3100,131.0000,1.5480
1990-04-04,,,0.0000,3.9500,0.0400,8.3200,1015.1000,67.6500,2.9300,172.0000,1.7759
1990-04-05,,,4.0000,3.3000,0.4900,6.1200,1017.9000,87.6700,1.6900,81.0000,0.8162
1990-04-06,,,0.0000,5.2800,2.4700,6.6300,1011.4000,85.3350,3.0400,73.0000,0.7898
1990-04-07,,,4.0000,4.1000,3.7900,5.2900,1007.5000,84.9850,3.2600,51.0000,0.5314
1990-04-08,,,2.2000,3.5500,1.4900,4.8400,1015.8000,80.6150,3.9100,80.0000,0.8142
1990-04-09,,,0.0000,4.3200,-1.0400,7.5600,1012.9000,51.2150,4.1100,150.0000,1.5704
