,head_full [m],head [m],rr [mm/d],tg [C],tn [C],tx [C],pp [hPa],hu [%],fg [m/s],qq [W/m2],et [mm/d]
1990-01-01,,,0.0000,-1.7100,-2.4500,-1.6400,1020.6000,93.0625,2.3200,9.0000,0.0746
1990-01-02,,,0.0000,-0.6600,-2.2900,-0.2400,1022.3000,92.0533,2.1300,11.0000,0.0951
1990-01-03,,,0.0000,0.0500,-0.6200,0.6900,1024.1000,91.4895,3.7900,12.0000,0.1066
1990-01-04,,,2.5000,-0.2900,-1.8600,1.4400,1021.6000,93.4929,3.9100,10.0000,0.0878
1990-01-05,,,0.0000,3.2100,1.3500,3.8400,1023.6000,93.2873,3.7200,8.0000,0.0801
1990-01-06,,,1.5000,2.9200,1.0000,4.9300,1025.0000,93.0818,4.3600,23.0000,0.2278
1990-01-07,,,0.0000,3.6800,1.6300,5.5300,1026.7001,94.2000,4.5900,11.0000,0.1118
1990-01-08,,,0.0000,5.4300,3.2900,6.1200,1030.9000,94.7000,4.1000,10.0000,0.1077
1990-01-09,,,0.0000,6.0600,4.0900,7.9400,1032.5000,94.7000,4.3400,12.0000,0.1318
1990-01-10,,,0.0000,6.4200,5.3900,7.4600,1028.2001,94.7000,6.1000,11.0000,0.1224
1990-01-11,,,1.0000,7.2400,5.8200,8.3200,1025.8000,94.0333,6.7300,11.0000,0.1258
1990-01-12,,,0.0000,4.0900,2.3500,6.3200,1026.3000,92.3357,4.1100,37.0000,0.3816
1990-01-13,,,0.0000,2.1300,0.6500,3.1600,1025.3000,92.9571,3.5200,10.0000,0.0962
1990-01-14,,,1.6000,1.1400,-0.2700,2.0800,1024.1000,93.5786,3.4600,14.0000,0.1298
1990-01-15,,,1.0000,6.7700,1.3800,10.6600,1016.7000,94.2000,7.7700,10.0000,0.1132
1990-01-16,,,1.1000,10.0000,8.9000,11.3200,1017.8000,92.0067,7.6000,18.0000,0.2239
1990-01-17,,,0.0000,7.8000,5.1700,9.9300,1015.6000,77.2100,8.9000,24.0000,0.2805
1990-01-18,,,0.0000,4.2000,2.4800,7.3100,1022.7000,88.0550,5.5600,36.0000,0.3734
1990-01-19,,,5.7000,4.7000,3.0100,6.6700,1020.4000,94.0333,6.4800,14.0000,0.1479
1990-01-20,,,0.0000,6.4700,4.8100,8.1500,1022.4000,91.9600,5.6600,24.0000,0.2683
1990-01-21,,,0.0000,9.0800,8.0200,10.1300,1027.3000,92.5500,6.0600,11.0000,0.1328
1990-01-22,,,1.2000,8.2200,7.1400,9.3400,1024.9000,93.3538,5.9600,11.0000,0.1296
1990-01-23,,,10.8000,8.2500,6.6400,9.7900,1008.1000,90.3375,7.7700,11.0000,0.1308
1990-01-24,,,4.2000,4.3600,1.9900,6.3100,1001.3000,87.2250,6.7400,28.0000,0.2953
1990-01-25,,,15.9000,6.9500,3.0200,11.3100,984.7000,86.9500,10.3000,14.0000,0.1619
1990-01-26,,,2.6000,5.0900,2.8700,7.2000,990.8000,77.2250,10.4600,33.0000,0.3586
1990-01-27,,,0.6000,4.8300,2.1500,6.8800,999.7000,89.6850,6.5300,31.0000,0.3325
1990-01-28,,,1.5000,6.1900,3.8000,9.7100,992.2000,82.6000,8.8300,18.0000,0.2025
1990-01-29,,,0.0000,5.0800,2.3700,7.9300,1002.2000,86.9550,5.9800,44.0000,0.4752
1990-01-30,,,1.1000,7.3000,4.0300,9.4200,998.3000,83.0250,6.9700,30.0000,0.3483
1990-01-31,,,0.0000,10.3800,8.7900,11.8400,997.3000,71.1100,8.1000,18.0000,0.2283
1990-02-01,,,3.3000,8.3500,6.9500,10.5700,1003.6000,81.3800,6.2600,37.0000,0.4420
1990-02-02,,,0.0000,6.9100,5.7500,8.9100,1002.4000,83.6550,7.9700,39.0000,0.4465
1990-02-03,,,18.1000,6.0300,5.1800,7.4400,1004.5000,91.8200,6.6900,15.0000,0.1669
1990-02-04,,,0.0000,6.4800,3.5900,9.4300,1021.7000,84.9800,6.6800,51.0000,0.5706
1990-02-05,,,0.0000,7.6400,4.4500,11.9200,1021.8000,75.4700,5.6400,73.0000,0.8466
1990-02-06,,,0.0000,7.5500,3.1300,12.0100,1013.2000,78.0550,4.9000,71.0000,0.8245
1990-02-07,,,15.0000,10.7800,7.8600,13.8700,1003.1000,85.9350,10.0000,20.0000,0.2557
1990-02-08,,,2.1000,9.1100,6.0700,14.0100,1006.5000,85.2650,10.6000,26.0000,0.3171
1990-02-09,,,0.0000,6.1200,3.1700,8.9800,1023.5000,87.8850,6.0400,59.0000,0.6520
1990-02-10,,,4.3000,5.5600,2.2000,9.3800,1006.7000,80.7700,6.1600,47.0000,0.5144
1990-02-11,,,5.5000,5.2600,2.9200,8.5100,992.6000,84.0400,7.7600,46.0000,0.5022
1990-02-12,,,5.8000,3.5900,1.7900,6.0700,978.9000,89.3579,8.4900,30.0000,0.3120
1990-02-13,,,12.9000,3.7300,0.7400,7.4100,987.7000,88.4200,6.0000,55.0000,0.5720
1990-02-14,,,5.6000,5.3100,2.6600,6.3700,985.5000,88.9632,7.8600,28.0000,0.3073
1990-02-15,,,3.0000,3.1900,1.6800,4.8000,993.5000,91.4929,5.0400,31.0000,0.3154
1990-02-16,,,0.0000,2.7300,0.1100,6.8600,1007.4000,88.2947,4.8900,73.0000,0.7249
1990-02-17,,,5.3000,4.0200,-0.5200,8.3100,1010.4000,92.0500,5.2000,44.0000,0.4565
1990-02-18,,,0.0000,6.2400,3.4800,8.8900,1011.0000,90.3150,3.8000,28.0000,0.3126
1990-02-19,,,0.0000,9.9000,4.7000,14.6900,1013.1000,88.5800,5.9600,64.0000,0.7955
1990-02-20,,,0.0000,13.3500,11.6100,15.7700,1019.4000,82.3850,6.8700,36.0000,0.4878
1990-02-21,,,0.0000,9.2200,5.4400,13.2800,1025.1000,84.0800,6.2600,70.0000,0.8490
1990-02-22,,,0.0000,7.5700,3.2500,13.5400,1037.8000,80.7700,4.1100,100.0000,1.1484
1990-02-23,,,0.0000,7.9500,2.5800,13.7900,1031.4000,83.8450,3.4200,101.0000,1.1769
1990-02-24,,,0.0000,11.3900,6.7200,14.5300,1018.8000,82.4450,6.1700,81.0000,1.0453
1990-02-25,,,6.4000,8.7100,6.7200,11.7200,1007.2000,87.2500,7.3900,59.0000,0.7111
1990-02-26,,,8.0000,7.8400,3.5300,10.6000,983.9000,80.3650,13.3800,40.0000,0.4752
1990-02-27,,,2.8000,5.2900,1.8800,6.8700,983.5000,82.9950,11.5300,56.0000,0.6149
1990-02-28,,,12.6000,4.0500,0.3800,6.2500,988.5000,83.7550,8.7100,40.0000,0.4204
1990-03-01,,,9.7000,2.1700,0.4500,4.7400,998.4000,90.6650,7.4200,63.0000,0.6161
1990-03-02,,,1.6000,2.2400,0.2100,5.4000,1023.1000,86.4300,5.9800,98.0000,0.9477
1990-03-03,,,0.0000,5.0000,1.9200,8.3000,1037.2001,90.1750,5.8900,85.0000,0.8992
1990-03-04,,,0.0000,7.1700,5.6100,9.0600,1033.8000,83.9100,7.9600,49.0000,0.5569
1990-03-05,,,4.0000,7.7100,6.8700,8.8200,1023.6000,89.9750,9.8800,33.0000,0.3832
1990-03-06,,,2.3000,7.7700,6.7300,9.0500,1014.7000,90.8650,10.0200,30.0000,0.3505
