,head_full [m],head [m],rr [mm/d],tg [C],tn [C],tx [C],pp [hPa],hu [%],fg [m/s],qq [W/m2],et [mm/d]
1990-01-01,,,0.0000,-0.0800,-1.9700,2.0000,1018.4000,78.0750,2.1600,,0.0000
1990-01-02,,,0.0000,-7.4500,-10.7900,-1.2600,1024.2001,86.0750,0.7300,,0.0000
1990-01-03,,,0.0000,-14.1500,-15.7500,-10.9000,1023.2000,88.0632,0.8700,,0.0000
1990-01-04,,,2.1000,-12.9300,-19.9300,-6.1800,1013.0000,90.5300,2.9600,,0.0000
1990-01-05,,,2.9000,-0.5900,-6.8100,2.7900,1007.5000,92.7000,1.6700,,0.0000
1990-01-06,,,0.0000,-0.3100,-1.7400,2.6700,1010.2000,91.8333,1.2400,,0.0000
1990-01-07,,,0.7000,-3.1800,-7.3000,-0.4300,1003.1000,83.0650,1.8700,,0.0000
1990-01-08,,,2.7000,-2.8700,-5.7700,1.2700,999.0000,83.3000,1.3400,,0.0000
1990-01-09,,,4.1000,-5.2600,-8.0500,-0.9200,995.7000,85.4100,1.4800,,0.0000
1990-01-10,,,1.4000,-11.6400,-13.3700,-6.1300,1000.6000,80.4950,3.7900,,0.0000
1990-01-11,,,2.2000,-17.3300,-18.5700,-12.9100,1009.7000,67.1950,5.0600,,0.0000
1990-01-12,,,1.1000,-16.2400,-18.7100,-12.1300,1018.6000,61.7850,2.6800,,0.0000
1990-01-13,,,0.0000,-12.9800,-14.9500,-10.1900,1011.9000,70.7650,2.1700,,0.0000
1990-01-14,,,0.5000,-15.7900,-17.3900,-13.8100,1007.2000,71.1400,2.5800,,0.0000
1990-01-15,,,1.3000,-12.0200,-15.7500,-8.8800,990.8000,72.0050,4.3900,,0.0000
1990-01-16,,,1.0000,-13.5600,-15.4200,-9.6900,990.7000,65.2450,3.7700,,0.0000
1990-01-17,,,0.0000,-19.4500,-22.6500,-15.4600,989.6000,77.0100,2.1300,,0.0000
1990-01-18,,,0.7000,-21.7800,-24.8200,-19.2900,991.9000,84.7950,1.7200,,0.0000
1990-01-19,,,0.0000,-20.4300,-23.5800,-17.6000,999.4000,81.6250,1.7100,,0.0000
1990-01-20,,,0.0000,-13.8300,-23.0800,-6.5700,994.9000,63.6600,2.3300,2.0000,0.0092
1990-01-21,,,0.0000,-17.6900,-20.5500,-14.1000,1008.7000,82.7450,1.3100,2.0000,0.0071
1990-01-22,,,1.1000,-14.6000,-19.0100,-8.9800,1010.3000,72.1000,1.5200,3.0000,0.0130
