,head_full [m],head [m],rr [mm/d],tn [C],tx [C],stage [m],et [mm/d]
1996-03-27,,,0.0000,13.8889,-5.5556,1.2039,2.6771
1996-03-28,,,0.0000,3.8889,-8.3333,1.1826,1.5088
1996-03-29,,,0.0000,6.1111,-6.1111,1.1765,1.7422
1996-03-30,,,0.0000,8.3333,-5.0000,1.1612,2.0097
1996-03-31,,,0.0000,12.2222,-5.5556,1.1460,2.5439
1996-04-01,,,0.0000,16.6667,-3.8889,1.1399,3.1652
1996-04-02,,,27.6860,13.8889,0.0000,1.3898,2.6841
1996-04-03,,,0.0000,9.4444,-1.1111,1.3685,2.0880
1996-04-04,,,0.0000,11.1111,-1.6667,1.2740,2.3748
1996-04-05,,,2.2860,9.4444,0.0000,1.2222,2.0572
1996-04-06,,,0.5080,8.8889,-3.3333,1.1856,2.1502
1996-04-07,,,3.5560,13.3333,-2.7778,1.1795,2.7955
1996-04-08,,,14.4780,3.8889,-0.5556,1.2435,1.2432
1996-04-09,,,1.2700,4.4444,-5.0000,1.2527,1.6399
1996-04-10,,,19.8120,5.5556,-5.0000,1.3136,1.8021
1996-04-11,,,2.2860,4.4444,0.0000,1.3776,1.3065
1996-04-12,,,0.0000,14.4444,2.2222,1.4995,2.8635
1996-04-13,,,5.3340,17.7778,2.7778,1.4843,3.4373
1996-04-14,,,11.9380,7.7778,1.6667,1.4721,1.7620
1996-04-15,,,0.7620,5.5556,-2.2222,1.4233,1.7242
1996-04-16,,,24.8920,14.4444,-1.6667,2.1975,3.1169
1996-04-17,,,34.5440,8.3333,1.6667,2.8254,1.8991
1996-04-18,,,0.2540,9.4444,-1.6667,2.1457,2.3439
1996-04-19,,,0.0000,17.2222,0.5556,1.8379,3.5705
1996-04-20,,,0.0000,21.1111,1.6667,1.6733,4.2526
1996-04-21,,,0.0000,23.8889,5.5556,1.5575,4.6420
1996-04-22,,,0.0000,26.6667,5.0000,1.4813,5.2538
1996-04-23,,,0.0000,25.0000,5.5556,1.4325,4.9193
1996-04-24,,,6.8580,28.3333,4.4444,1.3990,5.6722
1996-04-25,,,0.0000,11.6667,1.1111,1.3502,2.6563
1996-04-26,,,0.0000,21.6667,6.1111,1.3228,4.2768
1996-04-27,,,5.0800,22.7778,5.0000,1.3380,4.5953
1996-04-28,,,0.0000,13.3333,-1.6667,1.2953,3.1395
1996-04-29,,,0.2540,18.8889,0.5556,1.3167,4.0767
1996-04-30,,,33.7820,7.2222,5.0000,1.6397,1.2347
1996-05-01,,,14.9860,17.2222,4.4444,1.6245,3.5779
1996-05-02,,,0.0000,19.4444,4.4444,1.4995,4.0496
1996-05-03,,,0.0000,20.5556,1.6667,1.4173,4.4330
1996-05-04,,,3.8100,11.6667,3.8889,1.4294,2.5195
1996-05-05,,,2.0320,12.7778,5.0000,1.3776,2.6429
1996-05-06,,,2.0320,20.5556,7.7778,1.3685,4.0947
1996-05-07,,,6.6040,8.3333,-1.6667,1.4020,2.3797
1996-05-08,,,0.5080,18.3333,-1.1111,1.3472,4.1842
1996-05-09,,,0.0000,19.4444,6.1111,1.2984,4.0428
1996-05-10,,,3.3020,16.1111,8.3333,1.2892,3.0413
1996-05-11,,,2.2860,18.3333,9.4444,1.3106,3.4496
1996-05-12,,,24.3840,27.7778,7.2222,1.5483,5.8844
1996-05-13,,,0.2540,9.4444,1.1111,1.4904,2.4293
1996-05-14,,,0.0000,13.3333,-2.7778,1.3776,3.3890
1996-05-15,,,0.0000,16.6667,-1.6667,1.3167,3.9844
1996-05-16,,,0.0000,21.6667,1.6667,1.2862,4.8813
1996-05-17,,,14.9860,10.0000,3.8889,1.3868,2.2625
1996-05-18,,,0.2540,21.1111,7.2222,1.3350,4.4497
