,B09B0124_DE-KOOG,B09D0360_DEN-BURG,B11C0329_EAGMARYP,B12B0001_NOORDLAREN,B12G0075_NOOITGEDACHT,B22C009_WITHAREN,B27H0042_AVERLO,B32C0572_DE-BILT,B32E0031_PUTTEN,B33B0505_UGHELEN,B37E0646_DELFT,B41A0171_DOETINCHEM,B46C0191_STANTHONIS,B50H0026_GOIRLE,B52B0390_OVERLOON,B58C0698_WEERT,B62A0133_GULPEN,B62B0748_WIJLRE
1955-10-14,,,,,,,,,,,,,,,,,115.01,
1955-10-28,,,,,,,,,,,,,,,,,115.0,
1955-11-14,,,,,,,,,,,,,,,,,114.4,
1955-11-28,,,,,,,,,,,,,,,,,114.9,
1955-12-14,,,,,,,,,,,,,,,,,114.88,
1955-12-28,,,,,,,,,,,,,,,,,114.86,
1956-01-14,,,,,,,,,,,,,,,,,114.84,
1956-01-28,,,,,,,,,,,,,,,,,114.76,
1956-02-14,,,,,,,,,,,,,,,,,114.65,
1956-02-28,,,,,,,,,,,,,,,,,114.63,
1956-03-14,,,,,,,,,,,,,,,,,114.65,
1956-04-14,,,,,,,,,,,,,,,,,114.57,
1956-04-28,,,,,,,,,,,,,,,,,114.59,
1956-05-14,,,,,,,,,,,,,,,,,114.57,
1956-06-28,,,,,,,,,,,,,,,,,113.85,
1956-07-14,,,,,,,,,,,,,,,,,114.65,
1956-07-28,,,,,,,,,,,,,,,,,113.65,
1956-08-14,,,,,,,,,,,,,,,,,114.75,
1956-08-28,,,,,,,,,,,,,,,,,114.75,
1956-09-14,,,,,,,,,,,,,,,,,114.85,
1956-10-15,,,,,,,,,,,,,,,,,114.05,
1956-10-29,,,,,,,,,,,,,,,,,114.95,
1956-11-14,,,,,,,,,,,,,,,,,114.95,
1956-11-28,,,,,,,,,,,,,,,,,115.25,
1956-12-14,,,,,,,,,,,,,,,,,114.55,
1956-12-28,,,,,,,,,,,,,,,,,115.65,
1957-01-14,,,,,,,,,,,,,,,,,115.95,
1957-01-28,,,,,,,,,,,,,,,,,116.2,
1957-02-14,,,,,,,,,,,,,,,,,115.95,
1957-02-28,,,,,,,,,,,,,,,,,114.65,
1957-03-14,,,,,,,,,,,,,,,,,117.25,
1957-03-28,,,,,,,,,,,,,,,,,117.05,
1957-04-13,,,,,,,,,,,,,,,,,118.05,
1957-04-27,,,,,,,,,,,,,,,,,118.15,
1957-05-15,,,,,,,,,,,,,,,,,118.15,
1957-05-29,,,,,,,,,,,,,,,,,118.05,
1957-06-14,,,,,,,,,,,,,,,,,117.9,
1957-06-28,,,,,,,,,,,,,,,,,117.6,
1957-07-13,,,,,,,,,,,,,,,,,117.85,
1957-07-27,,,,,,,,,,,,,,,,,117.35,
1957-08-28,,,,,,,,,,,,,,,,,117.55,
1957-09-14,,,,,,,,,,,,,,,,,117.4,
1957-09-28,,,,,,,,,,,,,,,,,117.35,
1957-10-14,,,,,,,,,,,,,,,,,117.45,
1957-10-28,,,,,,,,,,,,,,,,,117.3,
1957-11-14,,,,,,,,,,,,,,,,,117.37,
1957-11-28,,,,,,,,,,,,,,,,,117.45,
1957-12-13,,,,,,,,,,,,,,,,,117.65,
1957-12-28,,,,,,,,,,,,,,,,,117.7,
1958-01-14,,,,,,,,,,,,,,,,,117.85,
1958-01-28,,,,,,,,,,,,,,,,,117.9,
1958-02-14,,,,,,,,,,,,,,,,,117.95,
1958-02-28,,,,,,,,,,,,,,,,,118.1,
1958-03-14,,,,,,,,,,,,,,,,,118.45,
1958-03-28,,,,,,,,,,,,,,,,,118.95,
1958-04-14,,,,,,,,,,,,,,,,,119.05,
1958-05-14,,,,,,,,,,,,,,,,,119.2,
1958-05-28,,,,,,,,,,,,,,,,,119.15,
1958-06-14,,,,,,,,,,,,,,,,,118.95,
1958-06-28,,,,,,,,,,,,,,,,,118.85,
1958-07-14,,,,,,,,,,,,,,,,,118.65,
1958-07-29,,,,,,,,1.71,,,,,,,,,,
1958-08-13,,,,,,,,,11.45,,,,,,,,,
1958-08-14,,,,,,,,,,,,,,,,,118.5,
1958-08-21,,,,,,,,,11.42,,,,,,,,,
1958-08-28,,,,,,,,,,,,,,,,,118.45,
1958-09-02,,,,,,,,,11.25,,,,,,,,,
1958-09-13,,,,,,,,,,,,,,,,,118.35,
1958-09-16,,,,,,,,,11.23,,,,,,,,,
1958-09-27,,,,,,,,,,,,,,,,,118.25,
1958-10-14,,,,,,,,,11.67,,,,,,,,118.15,
1958-10-22,,,,,,,,,11.66,,,,,,,,,
1958-10-28,,,,,,,,,,,,,,,,,118.05,
1958-11-12,,,,,,,,,11.73,,,,,,,,,
1958-11-14,,,,,,,,1.67,,,,,,,,,118.0,
1958-11-21,,,,,,,,,11.66,,,,,,,,,
1958-11-28,,,,,,,,1.64,,,,,,,,,118.0,
1958-12-03,,,,,,,,,11.6,,,,,,,,,
1958-12-15,,,,,,,,1.85,,,,,,,,,117.85,
1958-12-18,,,,,,,,,11.8,,,,,,,,,
1958-12-28,,,,,,,,,,,,,,,,,117.7,
1958-12-29,,,,,,,,1.89,,,,,,,,,,
1959-01-06,,,,,,,,,12.05,,,,,,,,,
1959-01-14,,,,,,,,2.1,,,,,,,,,117.6,
1959-01-20,,,,,,,,,12.28,,,,,,,,,
1959-01-26,,,,,,,,,12.34,,,,,,,,,
1959-01-28,,,,,,,,1.91,,,,,,,,,117.55,
1959-02-02,,,,,,,,,12.02,,,,,,,,,
1959-02-14,,,,,,,,,,,,,,,,,117.5,
1959-02-17,,,,,,,,,11.9,,,,,,,,,
1959-02-28,,,,,,,,,,,,,,,,,117.5,
1959-03-03,,,,,,,,,11.9,,,,,,,,,
1959-03-14,,,,,,,,,,,-1.52,,,,,,117.6,
1959-03-17,,,,,,,,,11.93,,,,,,,,,
1959-03-28,,,,,,,,,,,-1.53,,,,,,117.6,
1959-04-01,,,,,,,,,11.99,,,,,,,,,
1959-04-14,,,,,,,,,,,-1.52,,,,,,117.65,
1959-04-20,,,,,,,,,11.82,,,,,,,,,
1959-04-28,,,,,,,,,,,-1.52,,,,,,117.65,
1959-05-11,,,,,,,,,11.62,,,,,,,,,
1959-05-14,,,,,,,,,,,-1.52,,,,,,117.6,
1959-05-19,,,,,,,,,11.52,,,,,,,,,
1959-05-28,,,,,,,,,,,-1.51,,,,,,,
1959-06-01,,,,,,,,,11.35,,,,,,,,,
1959-06-14,,,,,,,,,,,,,,,,,117.45,
1959-06-15,,,,,,,,,,,-1.48,,,,,,,
1959-06-16,,,,,,,,,11.18,,,,,,,,,
1959-06-28,,,,,,,,,,,,,,,,,117.42,
1959-06-29,,,,,,,,,,,-1.49,,,,,,,
1959-07-02,,,,,,,,,11.07,,,,,,,,,
1959-07-14,,,,,,,,,,,-1.49,,,,,,117.35,
1959-07-28,,,,,,,,,,,-1.49,,,,,,117.27,
1959-08-04,,,,,,,,,10.91,,,,,,,,,
1959-08-14,,,,,,,,,,,-1.45,,,,,,,
1959-08-17,,,,,,,,,,,,,,,,,117.2,
1959-08-18,,,,,,,,,10.87,,,,,,,,,
1959-08-28,,,,,,,,,,,-1.47,,,,,,117.13,
1959-09-04,,,,,,,,,10.78,,,,,,,,,
1959-09-14,,,,,,,,,,,-1.48,,,,,,117.05,
1959-09-24,,,,,,,,,10.67,,,,,,,,,
1959-09-28,,,,,,,,,,,-1.48,,,,,,116.95,
1959-10-05,,,,,,,,,10.62,,,,,,,,,
1959-10-14,,,,,,,,,,,-1.23,,,,,,116.87,
1959-10-20,,,,,,,,,10.57,,,,,,,,,
1959-10-28,,,,,,,,,,,-1.17,,,,,,116.83,
1959-11-05,,,,,,,,,10.57,,,,,,,,,
1959-11-14,,,,,,,,,,,-1.05,,,,,,116.7,
1959-11-18,,,,,,,,,10.61,,,,,,,,,
1959-11-28,,,,,,,,,,,-1.06,,,,,,116.63,
1959-12-03,,,,,,,,,10.62,,,,,,,,,
1959-12-14,,,,,,,,,,,-1.13,,,,,,116.53,
1959-12-18,,,,,,,,,10.63,,,,,,,,,
1959-12-28,,,,,,,,,,,-1.0,,,,,,116.47,
1960-01-07,,,,,,,,,11.01,,,,,,,,,
1960-01-14,,,,,,,,,,,-1.06,,,,,,116.3,
1960-01-28,,,,,,,,1.51,,,-0.94,,,,,,116.22,
1960-02-02,,,,,,,,,11.51,,,,,,,,,
1960-02-14,,,,,,,,,,,,,,,,,116.13,
1960-02-15,,,,,,,,1.76,,,-0.95,,,,,,,
1960-02-22,,,,,,,,,11.56,,,,,,,,,
1960-02-29,,,,,,,,,,,-0.97,,,,,,116.03,
1960-03-01,,,,,,,,1.77,,,,,,,,,,
1960-03-03,,,,,,,,,11.54,,,,,,,,,
1960-03-14,,,,,,,,,,,-1.05,,,,,,,
1960-03-15,,,,,,,,1.76,,,,,,,,,115.87,
