Head [m],Prec [m/d],Evap [m/d]
B09B0124_DE-KOOG,022_DE-KOOG,235_DE-KOOY
B09D0360_DEN-BURG,017_DEN-BURG,235_DE-KOOY
B11C0329_EAGMARYP,081_JOURE,235_DE-KOOY
B12B0001_NOORDLAREN,280_EELDE,235_DE-KOOY
B12G0075_NOOITGEDACHT,140_ASSEN,235_DE-KOOY
B22C009_WITHAREN,342_VILSTEREN,260_DE-BILT
B27H0042_AVERLO,681_LETTELE,260_DE-BILT
B32C0572_DE-BILT,260_DE-BILT,260_DE-BILT
B32E0031_PUTTEN,542_PUTTEN,260_DE-BILT
B33B0505_UGHELEN,573_BEEKBERGEN,260_DE-BILT
B37E0646_DELFT,449_DELFT,260_DE-BILT
B41A0171_DOETINCHEM,667_DOETINCHEM,260_DE-BILT
B46C0191_STANTHONIS,905_STANTHONIS,380_MAASTRICHT
B50H0026_GOIRLE,831_ESBEEK,260_DE-BILT
B52B0390_OVERLOON,905_STANTHONIS,380_MAASTRICHT
B58C0698_WEERT,967_HEIBLOEM,380_MAASTRICHT
B62A0133_GULPEN,963_VALKENBURG,380_MAASTRICHT
B62B0748_WIJLRE,963_VALKENBURG,380_MAASTRICHT
