,SandyLoam_D85_REFERENCE,SandyLoam_D85_20150126,SandyLoam_D85_20150307,SandyLoam_D85_20150401,SandyLoam_D85_20150526,SandyLoam_D85_20150923,SandyLoam_D85_20151102
1996-01-01,8.499999046325684,8.499999046325684,8.499999046325684,8.499999046325684,8.499999046325684,8.499999046325684,8.499999046325684
1996-01-02,8.499994277954102,8.499994277954102,8.499994277954102,8.499994277954102,8.499994277954102,8.499994277954102,8.499994277954102
1996-01-03,8.499982833862305,8.499982833862305,8.499982833862305,8.499982833862305,8.499982833862305,8.499982833862305,8.499982833862305
1996-01-04,8.49996280670166,8.49996280670166,8.49996280670166,8.49996280670166,8.49996280670166,8.49996280670166,8.49996280670166
1996-01-05,8.499929428100586,8.499929428100586,8.499929428100586,8.499929428100586,8.499929428100586,8.499929428100586,8.499929428100586
1996-01-06,8.499881744384766,8.499881744384766,8.499881744384766,8.499881744384766,8.499881744384766,8.499881744384766,8.499881744384766
1996-01-07,8.499820709228516,8.499820709228516,8.499820709228516,8.499820709228516,8.499820709228516,8.499820709228516,8.499820709228516
1996-01-08,8.499751091003418,8.499751091003418,8.499751091003418,8.499751091003418,8.499751091003418,8.499751091003418,8.499751091003418
1996-01-09,8.499676704406738,8.499676704406738,8.499676704406738,8.499676704406738,8.499676704406738,8.499676704406738,8.499676704406738
1996-01-10,8.499593734741211,8.499593734741211,8.499593734741211,8.499593734741211,8.499593734741211,8.499593734741211,8.499593734741211
1996-01-11,8.499510765075684,8.499510765075684,8.499510765075684,8.499510765075684,8.499510765075684,8.499510765075684,8.499510765075684
1996-01-12,8.49942684173584,8.49942684173584,8.49942684173584,8.49942684173584,8.49942684173584,8.49942684173584,8.49942684173584
1996-01-13,8.499337196350098,8.499337196350098,8.499337196350098,8.499337196350098,8.499337196350098,8.499337196350098,8.499337196350098
1996-01-14,8.49923038482666,8.49923038482666,8.49923038482666,8.49923038482666,8.49923038482666,8.49923038482666,8.49923038482666
1996-01-15,8.499110221862793,8.499110221862793,8.499110221862793,8.499110221862793,8.499110221862793,8.499110221862793,8.499110221862793
1996-01-16,8.498973846435547,8.498973846435547,8.498973846435547,8.498973846435547,8.498973846435547,8.498973846435547,8.498973846435547
1996-01-17,8.498825073242188,8.498825073242188,8.498825073242188,8.498825073242188,8.498825073242188,8.498825073242188,8.498825073242188
1996-01-18,8.498673439025879,8.498673439025879,8.498673439025879,8.498673439025879,8.498673439025879,8.498673439025879,8.498673439025879
1996-01-19,8.498526573181152,8.498526573181152,8.498526573181152,8.498526573181152,8.498526573181152,8.498526573181152,8.498526573181152
1996-01-20,8.49838924407959,8.49838924407959,8.49838924407959,8.49838924407959,8.49838924407959,8.49838924407959,8.49838924407959
1996-01-21,8.498262405395508,8.498262405395508,8.498262405395508,8.498262405395508,8.498262405395508,8.498262405395508,8.498262405395508
1996-01-22,8.498146057128906,8.498146057128906,8.498146057128906,8.498146057128906,8.498146057128906,8.498146057128906,8.498146057128906
1996-01-23,8.498030662536621,8.498030662536621,8.498030662536621,8.498030662536621,8.498030662536621,8.498030662536621,8.498030662536621
1996-01-24,8.497909545898438,8.497909545898438,8.497909545898438,8.497909545898438,8.497909545898438,8.497909545898438,8.497909545898438
1996-01-25,8.497787475585938,8.497787475585938,8.497787475585938,8.497787475585938,8.497787475585938,8.497787475585938,8.497787475585938
1996-01-26,8.497668266296387,8.497668266296387,8.497668266296387,8.497668266296387,8.497668266296387,8.497668266296387,8.497668266296387
1996-01-27,8.497551918029785,8.497551918029785,8.497551918029785,8.497551918029785,8.497551918029785,8.497551918029785,8.497551918029785
1996-01-28,8.49744701385498,8.49744701385498,8.49744701385498,8.49744701385498,8.49744701385498,8.49744701385498,8.49744701385498
1996-01-29,8.49734878540039,8.49734878540039,8.49734878540039,8.49734878540039,8.49734878540039,8.49734878540039,8.49734878540039
1996-01-30,8.497243881225586,8.497243881225586,8.497243881225586,8.497243881225586,8.497243881225586,8.497243881225586,8.497243881225586
1996-01-31,8.49713134765625,8.49713134765625,8.49713134765625,8.49713134765625,8.49713134765625,8.49713134765625,8.49713134765625
1996-02-01,8.497007369995117,8.497007369995117,8.497007369995117,8.497007369995117,8.497007369995117,8.497007369995117,8.497007369995117
1996-02-02,8.496870994567871,8.496870994567871,8.496870994567871,8.496870994567871,8.496870994567871,8.496870994567871,8.496870994567871
1996-02-03,8.496726989746094,8.496726989746094,8.496726989746094,8.496726989746094,8.496726989746094,8.496726989746094,8.496726989746094
1996-02-04,8.496587753295898,8.496587753295898,8.496587753295898,8.496587753295898,8.496587753295898,8.496587753295898,8.496587753295898
1996-02-05,8.496453285217285,8.496453285217285,8.496453285217285,8.496453285217285,8.496453285217285,8.496453285217285,8.496453285217285
1996-02-06,8.496310234069824,8.496310234069824,8.496310234069824,8.496310234069824,8.496310234069824,8.496310234069824,8.496310234069824
1996-02-07,8.496159553527832,8.496159553527832,8.496159553527832,8.496159553527832,8.496159553527832,8.496159553527832,8.496159553527832
1996-02-08,8.496002197265625,8.496002197265625,8.496002197265625,8.496002197265625,8.496002197265625,8.496002197265625,8.496002197265625
1996-02-09,8.495845794677734,8.495845794677734,8.495845794677734,8.495845794677734,8.495845794677734,8.495845794677734,8.495845794677734
1996-02-10,8.495688438415527,8.495688438415527,8.495688438415527,8.495688438415527,8.495688438415527,8.495688438415527,8.495688438415527
1996-02-11,8.495530128479004,8.495530128479004,8.495530128479004,8.495530128479004,8.495530128479004,8.495530128479004,8.495530128479004
1996-02-12,8.495369911193848,8.495369911193848,8.495369911193848,8.495369911193848,8.495369911193848,8.495369911193848,8.495369911193848
1996-02-13,8.495217323303223,8.495217323303223,8.495217323303223,8.495217323303223,8.495217323303223,8.495217323303223,8.495217323303223
1996-02-14,8.49506664276123,8.49506664276123,8.49506664276123,8.49506664276123,8.49506664276123,8.49506664276123,8.49506664276123
1996-02-15,8.494922637939453,8.494922637939453,8.494922637939453,8.494922637939453,8.494922637939453,8.494922637939453,8.494922637939453
1996-02-16,8.49478530883789,8.49478530883789,8.49478530883789,8.49478530883789,8.49478530883789,8.49478530883789,8.49478530883789
1996-02-17,8.494651794433594,8.494651794433594,8.494651794433594,8.494651794433594,8.494651794433594,8.494651794433594,8.494651794433594
1996-02-18,8.494561195373535,8.494561195373535,8.494561195373535,8.494561195373535,8.494561195373535,8.494561195373535,8.494561195373535
1996-02-19,8.494592666625977,8.494592666625977,8.494592666625977,8.494592666625977,8.494592666625977,8.494592666625977,8.494592666625977
1996-02-20,8.49485969543457,8.49485969543457,8.49485969543457,8.49485969543457,8.49485969543457,8.49485969543457,8.49485969543457
1996-02-21,8.495452880859375,8.495452880859375,8.495452880859375,8.495452880859375,8.495452880859375,8.495452880859375,8.495452880859375
1996-02-22,8.496604919433594,8.496604919433594,8.496604919433594,8.496604919433594,8.496604919433594,8.496604919433594,8.496604919433594
1996-02-23,8.499067306518555,8.499067306518555,8.499067306518555,8.499067306518555,8.499067306518555,8.499067306518555,8.499067306518555
1996-02-24,8.503303527832031,8.503303527832031,8.503303527832031,8.503303527832031,8.503303527832031,8.503303527832031,8.503303527832031
1996-02-25,8.508749961853027,8.508749961853027,8.508749961853027,8.508749961853027,8.508749961853027,8.508749961853027,8.508749961853027
1996-02-26,8.514570236206055,8.514570236206055,8.514570236206055,8.514570236206055,8.514570236206055,8.514570236206055,8.514570236206055
1996-02-27,8.520194053649902,8.520194053649902,8.520194053649902,8.520194053649902,8.520194053649902,8.520194053649902,8.520194053649902
1996-02-28,8.525337219238281,8.525337219238281,8.525337219238281,8.525337219238281,8.525337219238281,8.525337219238281,8.525337219238281
1996-02-29,8.529802322387695,8.529802322387695,8.529802322387695,8.529802322387695,8.529802322387695,8.529802322387695,8.529802322387695
1996-03-01,8.533624649047852,8.533624649047852,8.533624649047852,8.533624649047852,8.533624649047852,8.533624649047852,8.533624649047852
1996-03-02,8.53689956665039,8.53689956665039,8.53689956665039,8.53689956665039,8.53689956665039,8.53689956665039,8.53689956665039
1996-03-03,8.539745330810547,8.539745330810547,8.539745330810547,8.539745330810547,8.539745330810547,8.539745330810547,8.539745330810547
1996-03-04,8.542215347290039,8.542215347290039,8.542215347290039,8.542215347290039,8.542215347290039,8.542215347290039,8.542215347290039
1996-03-05,8.544354438781738,8.544354438781738,8.544354438781738,8.544354438781738,8.544354438781738,8.544354438781738,8.544354438781738
1996-03-06,8.546218872070312,8.546218872070312,8.546218872070312,8.546218872070312,8.546218872070312,8.546218872070312,8.546218872070312
1996-03-07,8.547825813293457,8.547825813293457,8.547825813293457,8.547825813293457,8.547825813293457,8.547825813293457,8.547825813293457
1996-03-08,8.549181938171387,8.549181938171387,8.549181938171387,8.549181938171387,8.549181938171387,8.549181938171387,8.549181938171387
1996-03-09,8.550271987915039,8.550271987915039,8.550271987915039,8.550271987915039,8.550271987915039,8.550271987915039,8.550271987915039
1996-03-10,8.551063537597656,8.551063537597656,8.551063537597656,8.551063537597656,8.551063537597656,8.551063537597656,8.551063537597656
1996-03-11,8.551570892333984,8.551570892333984,8.551570892333984,8.551570892333984,8.551570892333984,8.551570892333984,8.551570892333984
